Batch	Operator	threats	 Formulasi
B1	B1	A	-99	
B1	B2	B	-99	
B1	B3	C	-100	
B1	B4	D	-99	
B1	B5	E	-99	
B1	B6	F	-99	
B1	B7	G	-100	
B1	B8	H	-100	
B1	B9	I	-100	
B1	B10	J	-100	
B2	B1	B	-96	
B2	B2	C	-100	
B2	B3	D	-100	
B2	B4	E	-97	
B2	B5	F	-98	
B2	B6	G	-98	
B2	B7	H	-100	
B2	B8	I	-100	
B2	B9	J	-100	
B2	B10	A	-100	
B3	B1	C	-99	
B3	B2	D	-99	
B3	B3	E	-100	
B3	B4	F	-100	
B3	B5	G	-100	
B3	B6	H	-100	
B3	B7	I	-100	
B3	B8	J	-100	
B3	B9	A	-100	
B3	B10	B	-100	
B4	B1	D	-99	
B4	B2	E	-100	
B4	B3	F	-100	
B4	B4	G	-100	
B4	B5	H	-100	
B4	B6	I	-100	
B4	B7	J	-100	
B4	B8	A	-100	
B4	B9	B	-100	
B4	B10	C	-100	
B5	B1	E	-98	
B5	B2	F	-99	
B5	B3	G	-100	
B5	B4	H	-100	
B5	B5	I	-100	
B5	B6	J	-100	
B5	B7	A	-100	
B5	B8	B	-100	
B5	B9	C	-100	
B5	B10	D	-100	
B6	B1	F	-100	
B6	B2	G	-100	
B6	B3	H	-100	
B6	B4	I	-100	
B6	B5	J	-100	
B6	B6	A	-100	
B6	B7	B	-100	
B6	B8	C	-99	
B6	B9	D	-99	
B6	B10	E	-100	
B7	B1	G	-100	
B7	B2	H	-100	
B7	B3	I	-100	
B7	B4	J	-100	
B7	B5	A	-100	
B7	B6	B	-100	
B7	B7	C	-100	
B7	B8	D	-100	
B7	B9	E	-100	
B7	B10	F	-99	
B8	B1	H	-100	
B8	B2	I	-98	
B8	B3	J	-99	
B8	B4	A	-100	
B8	B5	B	-100	
B8	B6	C	-100	
B8	B7	D	-100	
B8	B8	E	-100	
B8	B9	F	-100	
B8	B10	G	-100	
B9	B1	I	-100	
B9	B2	J	-100	
B9	B3	A	-99	
B9	B4	B	-100	
B9	B5	C	-100	
B9	B6	D	-100	
B9	B7	E	-98	
B9	B8	F	-100	
B9	B9	G	-100	
B9	B10	H	-100	
B10	B1	J	-100	
B10	B2	A	-100	
B10	B3	B	-99	
B10	B4	C	-100	
B10	B5	D	-100	
B10	B6	E	-100	
B10	B7	F	-100	
B10	B8	G	-100	
B10	B9	H	-100	
B10	B10	I	-100	
